dom_len,is_ip,tld_len,subdom_cnt,digit_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,path_len,query_len,label
15,0,3,0,0,0,0,1,1,0,0.75,0.0,0.25,1,3,1,0,0
16,0,6,1,0,0,0,3,0,0,0.75,0.0,0.25,0,3,1,0,0
13,0,3,1,0,0,0,2,0,0,0.76,0.0,0.24,0,3,1,0,0
9,0,3,1,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,1,0,0
6,0,2,0,1,0,0,1,1,0,0.666666667,0.047619048,0.285714286,1,3,7,0,1
10,0,3,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,1,0,0
8,0,3,0,0,0,0,1,0,0,0.705882353,0.0,0.294117647,1,3,1,0,0
8,0,2,1,0,0,0,2,0,0,0.7,0.0,0.3,0,3,1,0,0
15,0,3,1,0,0,0,2,0,0,0.777777778,0.0,0.222222222,0,3,1,0,0
12,0,2,1,0,0,0,2,0,0,0.75,0.0,0.25,0,3,1,0,0
5,0,2,0,0,0,0,1,0,0,0.75,0.0,0.25,1,3,7,0,1
20,0,2,1,0,0,0,2,1,0,0.78125,0.0,0.21875,0,3,1,0,0
8,0,2,1,0,0,0,2,0,0,0.695652174,0.0,0.304347826,0,4,4,0,0
10,0,3,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,1,0,0
6,0,3,0,1,0,0,1,0,0,0.7,0.05,0.25,1,3,6,0,1
19,0,3,1,0,0,0,2,0,0,0.806451613,0.0,0.193548387,0,3,1,0,0
17,0,3,0,0,0,0,1,0,0,0.807692308,0.0,0.192307692,1,3,1,0,0
11,0,3,1,0,0,0,2,0,0,0.730769231,0.0,0.269230769,0,4,4,0,0
8,0,2,1,0,0,0,2,0,0,0.7,0.0,0.3,0,3,1,0,0
10,0,3,0,0,0,0,1,0,0,0.722222222,0.0,0.277777778,0,3,1,0,0
10,0,3,1,1,0,0,3,0,0,0.71875,0.03125,0.25,0,4,11,0,0
19,0,5,1,0,0,0,3,0,0,0.8,0.0,0.2,0,2,0,0,1
10,0,3,1,0,0,0,2,1,0,0.730769231,0.0,0.269230769,1,3,1,0,1
8,0,2,0,3,1,0,3,0,0,0.708333333,0.0625,0.229166667,0,5,23,9,0
38,0,19,0,0,0,0,3,1,0,0.826086957,0.0,0.173913043,0,3,1,0,0
10,0,3,1,0,0,0,2,0,0,0.833333333,0.0,0.166666667,1,3,1,0,1
12,0,6,1,0,0,0,3,0,0,0.708333333,0.0,0.291666667,0,3,1,0,0
15,0,3,1,0,0,0,2,0,0,0.807692308,0.0,0.192307692,0,2,0,0,0
17,0,3,1,0,0,0,2,0,0,0.8,0.0,0.2,1,3,1,0,0
9,0,4,2,30,1,0,3,0,0,0.738255034,0.201342282,0.060402685,1,3,1,65,1
12,0,3,0,0,0,0,1,0,0,0.75,0.0,0.25,0,3,1,0,0
16,0,3,0,0,0,0,1,0,0,0.8,0.0,0.2,1,3,1,0,0
26,0,4,1,21,0,0,2,4,0,0.619047619,0.25,0.130952381,1,4,46,0,1
15,0,3,1,0,0,0,2,2,0,0.789473684,0.0,0.210526316,1,3,1,0,1
12,0,6,1,0,0,0,3,0,0,0.739130435,0.0,0.260869565,0,2,0,0,0
10,0,3,1,0,0,0,2,0,0,0.740740741,0.0,0.259259259,0,4,6,0,0
10,0,3,1,0,0,0,2,0,0,0.814814815,0.0,0.185185185,1,2,0,0,0
10,0,3,0,0,0,0,1,0,0,0.736842105,0.0,0.263157895,1,3,1,0,0
10,0,3,1,0,0,0,2,5,0,0.788461538,0.0,0.211538462,1,3,1,0,1
7,0,2,2,0,0,0,3,0,0,0.72,0.0,0.28,0,3,1,0,0
20,0,3,1,0,0,0,2,0,0,0.8,0.0,0.2,0,4,4,0,0
17,0,3,0,0,0,0,2,1,0,0.794117647,0.0,0.205882353,0,3,10,0,0
9,0,3,1,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,1,0,0
10,0,3,1,0,0,0,2,0,0,0.793103448,0.0,0.206896552,1,3,1,0,1
6,0,2,1,0,0,0,2,1,0,0.666666667,0.0,0.333333333,0,4,7,0,0
26,0,2,1,0,0,0,2,1,0,0.815789474,0.0,0.184210526,0,3,1,0,0
10,0,2,1,0,0,0,2,0,0,0.85,0.0,0.15,1,3,1,0,1
8,0,3,1,0,0,0,2,0,0,0.7,0.0,0.3,0,3,1,0,0
10,0,2,1,0,0,0,2,0,0,0.766666667,0.0,0.233333333,1,4,8,0,0
18,0,3,1,0,0,0,2,0,0,0.8,0.0,0.2,0,3,1,0,0
17,0,3,1,0,0,0,2,0,0,0.8,0.0,0.2,1,3,1,0,0
16,0,6,1,0,0,0,3,0,0,0.75862069,0.0,0.24137931,1,3,1,0,0
10,0,3,0,0,0,0,1,0,0,0.852941176,0.0,0.147058824,1,3,16,0,1
17,0,3,1,0,0,0,2,1,0,0.873239437,0.0,0.126760563,0,5,37,0,0
19,0,5,1,0,0,0,3,0,0,0.78125,0.0,0.21875,1,3,1,0,0
9,0,6,1,0,0,0,4,0,0,0.795454545,0.0,0.204545455,0,4,24,0,0
9,0,2,1,0,0,0,2,1,1,0.830188679,0.0,0.169811321,1,4,31,0,0
13,0,6,0,0,0,0,1,0,0,0.80952381,0.0,0.19047619,1,2,0,0,0
10,0,3,1,0,0,0,2,0,0,0.739130435,0.0,0.260869565,1,3,1,0,0
18,0,3,1,0,0,0,2,1,0,0.774193548,0.0,0.225806452,1,3,1,0,0
17,0,2,1,0,0,0,2,0,0,0.8125,0.0,0.1875,1,3,3,0,0
21,0,3,1,0,0,0,2,0,0,0.823529412,0.0,0.176470588,1,3,1,0,0
18,0,3,1,0,0,0,2,0,0,0.8,0.0,0.2,0,3,1,0,0
8,0,3,1,0,0,0,2,0,0,0.7,0.0,0.3,0,3,1,0,0
14,0,3,1,0,0,0,2,4,0,0.788461538,0.0,0.211538462,1,4,12,0,1
12,0,3,1,0,0,0,2,0,0,0.837209302,0.0,0.162790698,1,4,19,0,0
13,0,3,0,0,1,1,1,0,2,0.823529412,0.0,0.176470588,1,3,8,38,1
24,0,5,0,0,0,0,2,0,0,0.8125,0.0,0.1875,0,3,1,0,0
16,0,6,1,0,0,0,3,0,0,0.75,0.0,0.25,0,3,1,0,0
7,0,2,0,0,0,0,1,0,0,0.666666667,0.0,0.333333333,0,3,1,0,0
13,0,3,1,0,0,0,2,0,0,0.769230769,0.0,0.230769231,1,3,1,0,0
7,0,2,0,1,0,0,1,0,0,0.727272727,0.045454545,0.227272727,1,3,7,0,1
14,0,2,0,0,0,0,1,0,0,0.772727273,0.0,0.227272727,0,3,1,0,0
13,0,3,0,0,0,0,1,0,0,0.772727273,0.0,0.227272727,1,3,1,0,0
9,0,3,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,1,3,1,0,0
10,0,6,0,0,0,0,2,0,0,0.666666667,0.0,0.333333333,0,3,1,0,0
7,0,3,2,0,0,0,3,0,0,0.730769231,0.0,0.269230769,1,3,1,0,0
15,0,3,1,0,0,0,2,0,0,0.785714286,0.0,0.214285714,1,3,1,0,0
14,0,3,1,0,0,0,2,0,0,0.769230769,0.0,0.230769231,0,3,1,0,0
14,0,3,1,0,0,0,2,0,0,0.769230769,0.0,0.230769231,0,3,1,0,0
10,0,3,1,0,0,0,2,0,0,0.777777778,0.0,0.222222222,1,3,1,0,1
10,0,3,1,24,1,2,2,1,2,0.74251497,0.143712575,0.113772455,1,7,108,35,1
24,0,3,1,0,0,0,2,0,0,0.833333333,0.0,0.166666667,0,3,1,0,0
17,0,3,1,0,0,0,2,0,0,0.793103448,0.0,0.206896552,0,3,1,0,0
18,0,3,1,0,0,0,2,0,0,0.806451613,0.0,0.193548387,1,3,1,0,0
10,0,2,0,3,1,0,2,3,0,0.833333333,0.029411765,0.137254902,0,6,46,38,1
22,0,6,1,0,0,0,4,1,0,0.855072464,0.0,0.144927536,1,4,35,0,0
13,0,3,1,0,0,0,2,1,0,0.730769231,0.0,0.269230769,1,3,1,0,0
10,0,3,1,22,1,2,2,3,1,0.748571429,0.125714286,0.125714286,1,7,108,43,1
8,0,3,1,0,0,0,2,0,0,0.7,0.0,0.3,0,3,1,0,0
7,0,2,0,0,0,0,1,0,0,0.666666667,0.0,0.333333333,0,3,1,0,0
10,0,2,0,0,0,0,1,0,0,0.736842105,0.0,0.263157895,1,3,1,0,0
20,0,3,1,0,0,0,2,0,0,0.818181818,0.0,0.181818182,1,3,1,0,0
27,0,3,1,0,0,0,2,0,0,0.846153846,0.0,0.153846154,0,3,1,0,0
9,0,3,1,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,1,0,0
10,0,3,1,16,0,0,2,0,0,0.547169811,0.301886792,0.150943396,1,5,29,0,1
10,0,3,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,1,0,0
7,0,3,1,1,0,0,2,0,0,0.631578947,0.052631579,0.315789474,0,3,1,0,0
13,0,3,1,0,0,0,2,0,0,0.769230769,0.0,0.230769231,1,3,1,0,0
10,0,3,1,0,0,0,2,0,0,0.863636364,0.0,0.136363636,1,3,1,0,1
13,0,3,1,0,0,0,2,0,0,0.76,0.0,0.24,0,3,1,0,0
18,0,2,1,0,0,0,2,1,0,0.766666667,0.0,0.233333333,0,3,1,0,0
10,0,3,1,0,0,0,2,3,0,0.735294118,0.0,0.264705882,1,3,1,0,1
12,0,3,0,0,0,0,1,0,0,0.761904762,0.0,0.238095238,1,3,1,0,0
6,0,2,1,0,0,0,2,0,0,0.7,0.0,0.3,0,3,3,0,0
9,0,2,1,0,0,0,2,0,0,0.761904762,0.0,0.238095238,1,2,0,0,0
10,0,5,1,0,0,0,3,0,0,0.681818182,0.0,0.318181818,0,3,1,0,0
21,0,3,1,0,0,0,2,1,0,0.794117647,0.0,0.205882353,1,3,1,0,0
19,0,2,1,0,0,0,2,0,0,0.914285714,0.0,0.085714286,1,3,39,0,0
10,0,3,1,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,1,0,0
7,0,2,1,0,0,0,2,0,0,0.684210526,0.0,0.315789474,0,3,1,0,0
